#,Bathroom Scales,Price,Rating,Link,Top Review
1,Taylor Precision Products 75624072 Glass Digital Sca  ...,$22.82,4.4/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-75624072-Glass-Digital-Scale/22046340,blank
2,Health o meter LED Split Mat Bath Scale (HDR743DQ-41  ...,$17.88,4.6/5.0,https://www.walmart.com/ip/Health-o-meter-LED-Split-Mat-Bath-Scale-HDR743DQ-41/10264542,blank
3,My Life My Shop Digital Scale and Body Analyzer,$48.44,3.0/5.0,https://www.walmart.com/ip/My-Life-My-Shop-Digital-Scale-and-Body-Analyzer/47701093?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=c36719e74db439f9f27aa36056ae30e5&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,My Life My Shop Balance 2 Digital Body Scale,$28.99,4.5/5.0,https://www.walmart.com/ip/My-Life-My-Shop-Balance-2-Digital-Body-Scale/47701094,blank
5,Excelvan Touch 440 lbs Total Body Bath Scale – Measu  ...,$24.95,4.7/5.0,https://www.walmart.com/ip/Excelvan-Touch-440-lbs-Total-Body-Bath-Scale-Measures-Weight-Fat-Muscle-Bone-Hydration-with-Auto-Recognition-and-Infant-Tare-Technology/33412350,blank
6,Ozeri WeightMaster II 440 lbs Digital Bath Scale wit  ...,$27.99,4.2/5.0,https://www.walmart.com/ip/Ozeri-WeightMaster-II-440-lbs-Digital-Bath-Scale-with-BMI-and-Weight-Change-Detection/37417383,blank
7,Zimtown 180kg/396lb Digital Bathroom Scale Toughened  ...,$10.99,4.3/5.0,https://www.walmart.com/ip/Zimtown-180kg-396lb-Digital-Bathroom-Scale-Toughened-Glass-Electronic-Weight-Scale-Black/946515386,blank
8,Taylor 7413 Textured Stainless Steel Digital Scale,$14.89,4.5/5.0,https://www.walmart.com/ip/Taylor-7413-Textured-Stainless-Steel-Digital-Scale/39461235,blank
9,Ozeri Rev Digital Bathroom Scale with Electro-Mechan  ...,$23.99,4.8/5.0,https://www.walmart.com/ip/Ozeri-Rev-Digital-Bathroom-Scale-with-Electro-Mechanical-Weight-Dial/37417381,blank
10,Health o meter Weight Tracking Digital Scale,$19.88,4.7/5.0,https://www.walmart.com/ip/Health-o-meter-Weight-Tracking-Digital-Scale/8245670,blank
11,Mechanical Personal Scale,$4.13,4.5/5.0,https://www.walmart.com/ip/Mechanical-Personal-Scale/48947430,blank
12,Taylor 7595 Digital Glass Bathroom Scale with 2 User  ...,$24.88,2.6/5.0,https://www.walmart.com/ip/Taylor-7595-Digital-Glass-Bathroom-Scale-with-2-User-Memory/53998845,blank
13,Ozeri WeightMaster 400 lbs Digital Bath Scale with B  ...,$28.89,4.3/5.0,https://www.walmart.com/ip/Ozeri-WeightMaster-400-lbs-Digital-Bath-Scale-with-BMI-and-Weight-Change-Detection/37417384,blank
14,Taylor 7519 Ultra-Thick Digital Glass Bathroom Scale  ...,$30.90,4.2/5.0,https://www.walmart.com/ip/Taylor-7519-Ultra-Thick-Digital-Glass-Bathroom-Scale-with-Backlit-LCD-Display/11089592,blank
15,"Health O Meter Full View, Dial Scale",$16.99,4.3/5.0,https://www.walmart.com/ip/Health-O-Meter-Full-View-Dial-Scale/863431281,blank
16,1byone Digital Smart Wireless Body Fat Scale with IO  ...,$25.99,3.3/5.0,https://www.walmart.com/ip/1byone-Digital-Smart-Wireless-Body-Fat-Scale-IOS-Android-App-Manage-Body-weight-Body-Fat-Water-Muscle-Mass-BMI-BMR-Bone-Mass-Visceral-Fat-White/844727215,blank
17,Detecto 439 Eye Level Physician Mechanical Beam Scal  ...,$161.77,4.3/5.0,https://www.walmart.com/ip/Detecto-439-Eye-Level-Physician-Mechanical-Beam-Scale-W-Height-Rod/17775786,blank
18,Taylor Precision Mechanical Analog Bath Scale,$8.79,3.0/5.0,https://www.walmart.com/ip/Taylor-Precision-Mechanical-Analog-Bath-Scale/16541957,blank
19,Salter 916 Professional Large Dial Mechanical Bath S  ...,$66.49,4.6/5.0,https://www.walmart.com/ip/Salter-916-Professional-Large-Dial-Mechanical-Bath-Scale/39461234,blank
20,Ktaxon Hot Digital Bathroom Body Glass Weight Heath   ...,$9.99,4.7/5.0,https://www.walmart.com/ip/Ktaxon-Hot-Digital-Bathroom-Body-Glass-Weight-Heath-LCD-Scale-180kg-100g-396lb/731752937,blank
21,Omron Healthcare Full-Body Sensor Composition Monito  ...,$68.45,4.6/5.0,https://www.walmart.com/ip/Omron-Healthcare-Full-Body-Sensor-Composition-Monitor-and-Scale/15604612,blank
22,American Weigh Scales 330CVS Talking Digital Bathroo  ...,$23.86,4.3/5.0,https://www.walmart.com/ip/American-Weigh-Scales-330CVS-Talking-Digital-Bathroom-Scale/23876340,blank
23,Sunbeam Rotating Dial Scale (SAB700),$5.82,4.8/5.0,https://www.walmart.com/ip/Sunbeam-Rotating-Dial-Scale-SAB700/15524356,blank
24,Conair TH100S Extra Large Dial Analog Precision Bath  ...,$38.45,4.6/5.0,https://www.walmart.com/ip/Conair-TH100S-Extra-Large-Dial-Analog-Precision-Bath-Scale/17446043,blank
25,Health O Meter Oversized Dial Scale (HAB401DQ-99),$33.73,4.4/5.0,https://www.walmart.com/ip/Health-O-Meter-Oversized-Dial-Scale-HAB401DQ-99/42358732,blank
26,Taylor 740541032 Digital Scale,$27.09,0.0/5.0,https://www.walmart.com/ip/Taylor-740541032-Digital-Scale/11089589,blank
27,Taylor 5780F Stainless Steel Body Analysis Bathroom   ...,$34.88,3.0/5.0,https://www.walmart.com/ip/Taylor-5780F-Stainless-Steel-Body-Analysis-Bathroom-Scale/53998844,blank
28,"Taylor Precision Products 755841933s Digital 1.58"" L  ...",$23.51,4.6/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-755841933s-Digital-1-58-Lcd-Bath-Scale/27449074,blank
29,Health o Meter Professional Dial Scale (145KD-41),$28.81,4.3/5.0,https://www.walmart.com/ip/Health-o-Meter-Professional-Dial-Scale-145KD-41/14706446,blank
30,Health O Meter Baby Toddler Scale (HDC100KD-01),$41.99,5.0/5.0,https://www.walmart.com/ip/Health-O-Meter-Baby-Toddler-Scale-HDC100KD-01/2676641,blank
31,Taylor Mechanical Analog Bath Scale Style 11306072T,$36.00,4.5/5.0,https://www.walmart.com/ip/Taylor-Mechanical-Analog-Bath-Scale-Style-11306072T/11089584,blank
32,Omron Body Composition Monitor And Scale With Seven   ...,$73.37,4.6/5.0,https://www.walmart.com/ip/Omron-Body-Composition-Monitor-And-Scale-With-Seven-Fitness-Indicators-Black/15604629,blank
33,My Weigh Xl-700 Talking Bathroom Scale 700 Lb 320kg,$73.99,0.0/5.0,https://www.walmart.com/ip/My-Weigh-Xl-700-Talking-Bathroom-Scale-700-Lb-320kg/164150765,blank
34,Salter 914whlkr Infant & Toddler Bath Scale,$47.47,4.0/5.0,https://www.walmart.com/ip/Salter-914whlkr-Infant-Toddler-Bath-Scale/11063127,blank
35,"5782 Body Fat Analyzer, Metro Glass",$14.11,4.1/5.0,https://www.walmart.com/ip/5782-Body-Fat-Analyzer-Metro-Glass/54423637,blank
36,"Full Body Sensing Floor, Body Analyzer / Scale OMRON  ...",$63.99,3.5/5.0,https://www.walmart.com/ip/Full-Body-Sensing-Floor-Body-Analyzer-Scale-OMRON-Large-LCD-Display-Sliver-and-White/10893854,blank
37,Fitbit Aria 2 Wi-Fi Smart Scale,$128.95,4.1/5.0,https://www.walmart.com/ip/Fitbit-Aria-2-Wi-Fi-Smart-Scale/915820231,blank
38,Conair WW39Y Weight Watchers Digital Glass & Chrome   ...,$31.30,4.6/5.0,https://www.walmart.com/ip/Conair-WW39Y-Weight-Watchers-Digital-Glass-Chrome-Scale/5750827,blank
39,BalanceFrom High Accuracy Digital Bathroom Scale wit  ...,$9.33,4.0/5.0,https://www.walmart.com/ip/BalanceFrom-High-Accuracy-Digital-Bathroom-Scale-with-Backlight-Display-and-Step-on-Technology/646562868,blank
40,Ktaxon 396lb LCD Digital Bathroom Tempered Glass Wei  ...,$9.99,4.6/5.0,https://www.walmart.com/ip/Ktaxon-396lb-LCD-Digital-Bathroom-Tempered-Glass-Weight-Heath-Body-Fitness-Scale-kg/533085894,blank
