#,Daily Living Aids,Price,Rating,Link,Top Review
1,"Hip Kit with 26"" Reacher, Contoured Sponge, Sock Aid  ...",$30.00,4.4/5.0,https://www.walmart.com/ip/Hip-Kit-with-26-Reacher-Contoured-Sponge-Sock-Aid-18-Plastic-Shoehorn-and-Dressing-Stick/55210952,blank
2,"Be Koool Soft Gel Sheets for Kids, 4 count",$2.97,4.6/5.0,https://www.walmart.com/ip/Be-Koool-Soft-Gel-Sheets-for-Kids-4-count/13863870,blank
3,Juvo Products SATA1 Toilet Aid,$19.58,3.0/5.0,https://www.walmart.com/ip/Juvo-Products-SATA1-Toilet-Aid/44198163,blank
4,Vaultz Locking Medicine Case,$9.84,4.5/5.0,https://www.walmart.com/ip/Vaultz-Locking-Medicine-Case/28904365,blank
5,Johnson’s Baby Safety Ear Swabs Made with Non-Bleach  ...,$4.99,4.7/5.0,https://www.walmart.com/ip/Johnson-s-Baby-Safety-Ear-Swabs-Made-with-Non-Bleached-Cotton-185-ct/14089586?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=ed383d3255ab11968edbd4434a842fb8&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
6,Ezy Dose AM/PM Travel Pill Pods Pill Planner,$3.98,4.2/5.0,https://www.walmart.com/ip/Ezy-Dose-AM-PM-Travel-Pill-Pods-Pill-Planner/33056563,blank
7,Mack's Pillow Soft Ear Plugs - Kid Size,$2.46,4.3/5.0,https://www.walmart.com/ip/Mack-s-Pillow-Soft-Ear-Plugs-Kid-Size/10312303,blank
8,RMS Long Reach Comfort Wipe Toilet Tissue Aid Bottom  ...,$9.97,4.5/5.0,https://www.walmart.com/ip/RMS-Long-Reach-Comfort-Wipe-Toilet-Tissue-Aid-Bottom-Buddy-Tool/335306597,blank
9,Helping Hand 4-wheel Super-deluxe Swiveler Cart,$27.96,4.8/5.0,https://www.walmart.com/ip/Helping-Hand-4-wheel-Super-deluxe-Swiveler-Cart/10929358,blank
10,North American Health & Wellness Step Stool Outdoor   ...,$32.98,4.7/5.0,https://www.walmart.com/ip/North-American-Health-Wellness-Step-Stool-Outdoor-Step-1-4-Inch/21037492,blank
11,As Seen On TV! Gopher II Deluxe Pick Up & Reaching T  ...,$9.88,4.5/5.0,https://www.walmart.com/ip/As-Seen-On-TV-Gopher-II-Deluxe-Pick-Up-Reaching-Tool/38389245,blank
12,ManiPros Premium 2x Full Page Magnifier with 1 Bonus  ...,$7.95,2.6/5.0,https://www.walmart.com/ip/ManiPros-Premium-2x-Full-Page-Magnifier-with-1-Bonus-Bookmark-Magnifiers-Ideal-for-For-Senior-Reading-Small-Prints/875224308,blank
13,Apex Ultra Pill Splitter,$5.99,4.3/5.0,https://www.walmart.com/ip/Apex-Ultra-Pill-Splitter/10322088,blank
14,As Seen On Tv Sock Slider - The Fastest Easiest Way   ...,$12.46,4.2/5.0,https://www.walmart.com/ip/As-Seen-On-Tv-Sock-Slider-The-Fastest-Easiest-Way-To-Put-Socks-On/770044010,blank
15,Hearing Amplifiers Set with New Digital Technology -  ...,$19.99,4.3/5.0,https://www.walmart.com/ip/Hearing-Amplifiers-Set-New-Digital-Technology-Almost-Invisible-Design-Rechargeable-USB-Dock-Personal-Pair-Sound-Amplifier-Adjustable-Volume-Tone-Cont/770893446,blank
16,"Flents Plugs Quiet Please! Foam Ear, 10 Pr",$2.98,3.3/5.0,https://www.walmart.com/ip/Flents-Plugs-Quiet-Please-Foam-Ear-10-Pr/10535851,blank
17,OXO Good Grips Button Hook,$7.88,4.3/5.0,https://www.walmart.com/ip/OXO-Good-Grips-Button-Hook/112011822,blank
18,"Ezy Dose Pill Planner, 1.0 CT",$4.78,3.0/5.0,https://www.walmart.com/ip/Ezy-Dose-Pill-Planner-1-0-CT/10996835,blank
19,Equate Nasal Decongestant Levmetamfetamine Vapor Inh  ...,$3.46,4.6/5.0,https://www.walmart.com/ip/Equate-Nasal-Decongestant-Levmetamfetamine-Vapor-Inhaler-50-mg-0-007-Oz/22002703,blank
20,"30"" Pick up Tool Aluminum Grabber Reacher W Pistol G  ...",$7.99,4.7/5.0,https://www.walmart.com/ip/30-Pick-up-Tool-Aluminum-Grabber-Reacher-W-Pistol-Grip-and-Magnetic-Magnet-Tip/510099077,blank
21,HealthSmart Folding Magnetic Tip Reacher Grabber for  ...,$9.99,4.6/5.0,https://www.walmart.com/ip/HealthSmart-Folding-Magnetic-Tip-Reacher-Grabber-Elderly-Disabled-32-Inch-Aluminum-Lightweight-Trash-Grabber-Garden-Nabber-Litter-Picker-Arm-Extension/36782329,blank
