#,Health Monitors,Price,Rating,Link,Top Review
1,Omron Bp742n 5 Series Advanced-accuracy Upper Arm Bl  ...,$39.99,4.4/5.0,https://www.walmart.com/ip/Omron-Bp742n-5-Series-Advanced-accuracy-Upper-Arm-Blood-Pressure-Monitor/38335908,blank
2,Omron Bp710n 3 Series Advanced-accuracy Upper Arm Bl  ...,$29.99,4.6/5.0,https://www.walmart.com/ip/Omron-Bp710n-3-Series-Advanced-accuracy-Upper-Arm-Blood-Pressure-Monitor/38335909,blank
3,Garmin Forerunner 35 GPS Running Watch,$169.99,3.0/5.0,https://www.walmart.com/ip/Garmin-Forerunner-35-GPS-Running-Watch/54319418?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=d241e9880fd793d1a04eab2dda717555&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,OLED Finger tip Pulse Oximeter Blood Oxygen Monitor   ...,$11.99,4.5/5.0,https://www.walmart.com/ip/OLED-Finger-tip-Pulse-Oximeter-Blood-Oxygen-Monitor-CONTEC-CMS50NA/832879811,blank
5,Garmin Vivosmart HR Plus,$104.99 - $112.51,4.7/5.0,https://www.walmart.com/ip/Garmin-Vivosmart-HR-Plus/54319244,blank
6,Omron Bp785n 10 Series Advanced-accuracy Upper Arm B  ...,$59.99,4.2/5.0,https://www.walmart.com/ip/Omron-Bp785n-10-Series-Advanced-accuracy-Upper-Arm-Blood-Pressure-Monitor/38335906,blank
7,Omron BP629N 3 Series Wrist Blood Pressure Monitor,$36.88,4.3/5.0,https://www.walmart.com/ip/Omron-BP629N-3-Series-Wrist-Blood-Pressure-Monitor/15715320,blank
8,LED Finter Pulse Oximeter Oxygen saturation machine   ...,$10.99,4.5/5.0,https://www.walmart.com/ip/LED-Finter-Pulse-Oximeter-Oxygen-saturation-machine-pulse-oximetry-SPO2-Monitor/578671433,blank
9,Blood Pressure Monitor 7 Series™ Automatic One Size   ...,$47.49,4.8/5.0,https://www.walmart.com/ip/Blood-Pressure-Monitor-7-Series-Automatic-One-Size-Fits-Most-Wrist/15702123,blank
10,Omron 10 Series Upper Arm Blood Pressure Monitor wit  ...,$64.99,4.7/5.0,https://www.walmart.com/ip/Omron-10-Series-Upper-Arm-Blood-Pressure-Monitor-with-Bluetooth-Smart-BP786/38335911,blank
