#,Hearing Aids,Price,Rating,Link,Top Review
1,Simplicity Smart Touch Hearing Aid Pair,$899.00,4.4/5.0,https://www.walmart.com/ip/Simplicity-Smart-Touch-Hearing-Aid-Pair/19511763,blank
2,"SimplySoft Smart Touch Hearing Aid, Pair",$849.00,4.6/5.0,https://www.walmart.com/ip/SimplySoft-Smart-Touch-Hearing-Aid-Pair/19511766,blank
3,Bose noise-masking sleepbuds™,$249.00,3.0/5.0,https://www.walmart.com/ip/Bose-noise-masking-sleepbuds/456829680?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=fa28573212b5ae3b9446dbb987ce7c22&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,(5 Packs) Genuine Phonak Cerustop Wax Traps ...IN TH  ...,$17.77,4.5/5.0,https://www.walmart.com/ip/5-Packs-Genuine-Phonak-Cerustop-Wax-Traps-IN-THE-CERUSTOP-Wrapper/168527126,blank
5,Simplicity Hi Fi EP Hearing Aid Pair,$999.00,4.7/5.0,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,blank
6,"SimplySoft Smart Touch Hearing Aid, Right Ear",$449.00,4.2/5.0,https://www.walmart.com/ip/SimplySoft-Smart-Touch-Hearing-Aid-Right-Ear/19511765,blank
7,Alpha 3 Hearing Aid | Smartphone Enabled Premium Hea  ...,$499.00,4.3/5.0,https://www.walmart.com/ip/Alpha-3-Hearing-Aid-Smartphone-Enabled-Premium-Hearing-Device-Patented-Noise-Blocking-System-Right-or-Left/723285115,blank
8,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",$9.8862.0¢/each,4.5/5.0,https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,blank
9,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,$499.00,4.8/5.0,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Right-Ear/15599961,blank
10,(6 Pack) Phonak Wax Trap 2,$24.28,4.7/5.0,https://www.walmart.com/ip/6-Pack-Phonak-Wax-Trap-2/126819152,blank
11,Power One p312 Hearing Aid Battery (10 Packs of 6 Ea  ...,$16.27,4.5/5.0,https://www.walmart.com/ip/Power-One-p312-Hearing-Aid-Battery-10-Packs-of-6-Each/141100463,blank
12,Phonak Hearing Aid MEDIUM size POWER Dome,$8.99,2.6/5.0,https://www.walmart.com/ip/Phonak-Hearing-Aid-MEDIUM-size-POWER-Dome/108981742,blank
13,Energizer EZ Turn & Lock + Power Seal Zinc Air Heari  ...,$10.1864.0¢/each,4.3/5.0,https://www.walmart.com/ip/Energizer-EZ-Turn-Lock-Power-Seal-Zinc-Air-Hearing-Aid-Batteries-1-4V-Mercury-free-Size-312-Pack-of-16/34022365,blank
14,"Phonak Hearing Aid Open Domes, Size Small",$8.20,4.2/5.0,https://www.walmart.com/ip/Phonak-Hearing-Aid-Open-Domes-Size-Small/128714758,blank
15,"Phonak, Resound, Unitron & Widex Hearing Aid Wax Gua  ...",$19.99,4.3/5.0,https://www.walmart.com/ip/Phonak-Resound-Unitron-Widex-Hearing-Aid-Wax-Guards-5-Packs/126809111,blank
16,Siemens Connexx  Click Dome 8 mm Closed For RIC Hear  ...,$7.00,3.3/5.0,https://www.walmart.com/ip/Siemens-Connexx-Click-Dome-8-mm-Closed-For-RIC-Hearing-Aids-6-Domes-Each/113702651,blank
17,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",$14.1359.0¢/each,4.3/5.0,https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-24-Pack/23810302,blank
18,Phonak Hearing Aid LARGE Size CLOSED Domes,$9.90,3.0/5.0,https://www.walmart.com/ip/Phonak-Hearing-Aid-LARGE-Size-CLOSED-Domes/106127335,blank
19,Duracell hearing aid batteries size 312 (80 pack),$20.99,4.6/5.0,https://www.walmart.com/ip/Duracell-hearing-aid-batteries-size-312-80-pack/612269656,blank
20,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",$14.9763.0¢/each,4.7/5.0,https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-10-24-Pack/23810304,blank
21,"Rayovac Size 312 Hearing Aid Batteries, 48-Pack 312-  ...",$24.99,4.6/5.0,https://www.walmart.com/ip/Rayovac-Size-312-Hearing-Aid-Batteries-48-Pack-312-48/499773801,blank
22,"Rayovac Size 13 Hearing Aid Batteries, 24-Pack 13-24",$12.30,4.3/5.0,https://www.walmart.com/ip/Rayovac-Size-13-Hearing-Aid-Batteries-24-Pack-13-24/157638136,blank
