#,Patient Care,Price,Rating,Link,Top Review
1,"ReliOn Nitrile Examination Gloves, 100 Ct",$9.24,4.4/5.0,https://www.walmart.com/ip/ReliOn-Nitrile-Examination-Gloves-100-Ct/14284765,blank
2,Curad Basic Care Large/Extra Large Vinyl Exam Gloves  ...,$7.73,4.6/5.0,https://www.walmart.com/ip/Curad-Basic-Care-Large-Extra-Large-Vinyl-Exam-Gloves-100-count/44621723,blank
3,Addipak Prefilled Vials  3mL Normal Saline Box of 10  ...,$13.78,3.0/5.0,https://www.walmart.com/ip/Addipak-Prefilled-Vials-3mL-Normal-Saline-Box-of-100/270402618?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=49ce96c7c41249dc267ee78a21998b68&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
4,"Equate Latex Examination Gloves, One Size, 50 Ct",$5.96,4.5/5.0,https://www.walmart.com/ip/Equate-Latex-Examination-Gloves-One-Size-50-Ct/300343224,blank
5,"Adult Simple Oxygen Mask 84 Inch Tubing, 1 Count",$7.52,4.7/5.0,https://www.walmart.com/ip/Adult-Simple-Oxygen-Mask-84-Inch-Tubing-1-Count/37849998?wpa_bd=&wpa_pg_seller_id=DABA61A51AA444798605B2E5391AF8EA&wpa_ref_id=dcb3f6053c13eb936b5da768afebacf6&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,blank
6,"Safeskin Purple Nitrile Powder-Free Exam Gloves, Lar  ...",$13.19,4.2/5.0,https://www.walmart.com/ip/Safeskin-Purple-Nitrile-Powder-Free-Exam-Gloves-Large-100-Count/10715978,blank
7,Sitz Bath Carex® Round Dusty Rose Polypropylene,$13.86,4.3/5.0,https://www.walmart.com/ip/Sitz-Bath-Carex-Round-Dusty-Rose-Polypropylene/27931344,blank
8,"3M Littmann Classic III Stethoscope, Rainbow-Finish,  ...",$83.50 - $99.99,4.5/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-III-Stethoscope-Rainbow-Finish-Raspberry-Tube-27-inch/125636484,blank
9,"3M Littmann Lightweight II S.E. Stethoscope, Availab  ...",$45.00 - $53.80,4.8/5.0,https://www.walmart.com/ip/3M-Littmann-Lightweight-II-S-E-Stethoscope-Available-in-Multiple-Colors/21720622,blank
10,"Equate Natural Laxative Plus Stool Softener, 50 mg,   ...",$4.98,4.7/5.0,https://www.walmart.com/ip/Equate-Natural-Laxative-Plus-Stool-Softener-50-mg-30-Ct/34770479,blank
11,"3M Littmann Cardiology IV Stethoscope, Available in   ...",$159.98 - $191.38,4.5/5.0,https://www.walmart.com/ip/3M-Littmann-Cardiology-IV-Stethoscope-Available-in-Multiple-Colors/112383005,blank
12,Navage Nasal Irrigation Deluxe Bundle: Navage Nose C  ...,$116.95 - $119.95,2.6/5.0,https://www.walmart.com/ip/Navage-Nasal-Irrigation-Deluxe-Bundle-Navage-Nose-Cleaner-48-SaltPod-Capsules-Countertop-Caddy-Travel-Case-162-75-purchased-separately-You-save-52-80/157182505,blank
13,"Equate Vinyl Examination Gloves, 100 Ct",$7.98,4.3/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-100-Ct/709075118,blank
14,Nature Made® Super B-Complex Dietary Supplement Tabl  ...,$15.444.0¢/each,4.2/5.0,https://www.walmart.com/ip/Nature-Made-Super-B-Complex-Dietary-Supplement-Tablets-390ct/634283052,blank
15,SCRUBSTAR Women's Brushed Poplin V-Neck Scrub Top,$12.96,4.3/5.0,https://www.walmart.com/ip/Women-s-Brushed-Poplin-V-Neck-Scrub-Top/56093224,blank
16,CURAD Powder-Free Textured Latex Exam Gloves - CUR81  ...,$11.49 - $13.46,3.3/5.0,https://www.walmart.com/ip/CURAD-Powder-Free-Textured-Latex-Exam-Gloves-CUR8104/22582340,blank
17,Kimberly-Clark PROFESSIONAL Protective Gear Disposab  ...,$17.24 - $20.68,4.3/5.0,https://www.walmart.com/ip/Kimberly-Clark-PROFESSIONAL-Protective-Gear-Disposable-Purple-Nitrile-Exam-Gloves-Small-100-Count-KCC-55081/22582311,blank
18,"Equate Earloop Mask Disposable Mask, 20 Ct",$2.97,3.0/5.0,https://www.walmart.com/ip/Equate-Earloop-Mask-Disposable-Mask-20-Ct/745929347,blank
19,Safeskin Purple Nitrile Powder-Free Exam Disposable   ...,$14.22,4.6/5.0,https://www.walmart.com/ip/Safeskin-Purple-Nitrile-Powder-Free-Exam-Disposable-Gloves-Non-Sterile/10715979,blank
20,"Cervical Neck Traction Device, Inflatable Neck Tract  ...",$16.95,4.7/5.0,https://www.walmart.com/ip/Cervical-Neck-Traction-Device-Inflatable-Neck-Traction-Neck-Brace-for-Fast-Neck-Head-Shoulder-Pain-Relief-Adjustable-and-FDA-Approved/136497820,blank
21,"3M Littmann Classic II S.E. Adult Stethoscope, Black",$64.28,4.6/5.0,https://www.walmart.com/ip/3M-Littmann-Classic-II-S-E-Adult-Stethoscope-Black/14930019,blank
22,ChoiceMMed Pulse Oximeter,$34.99,4.3/5.0,https://www.walmart.com/ip/ChoiceMMed-Pulse-Oximeter/17325061,blank
23,"Equate Gauze Pads, 3""x3"", 25 Ct",$3.54,4.8/5.0,https://www.walmart.com/ip/Equate-Gauze-Pads-3-x3-25-Ct/344776932,blank
24,Nauzene Nausea Relief Chewable Tablets Wild Cherry F  ...,$4.96,4.6/5.0,https://www.walmart.com/ip/Nauzene-Nausea-Relief-Chewable-Tablets-Wild-Cherry-Flavor-42-CT/932026162,blank
25,"Equate Headache Relief, Acetaminophen, Aspirin & Caf  ...",$4.00,4.4/5.0,https://www.walmart.com/ip/Equate-Headache-Relief-Acetaminophen-Aspirin-Caffeine-Extra-Strength-Twin-Pack-200-Caplets/350249376,blank
26,"Equate Vinyl Examination Gloves, One Size, 50 Ct",$5.84,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-One-Size-50-Ct/265514745,blank
27,Cara Hot Water Bottle Personal Hygiene And Enema Sys  ...,$14.16,3.0/5.0,https://www.walmart.com/ip/Cara-Hot-Water-Bottle-Personal-Hygiene-And-Enema-System-2-Quart-Combination/10320773,blank
28,ProSource Acupressure Mat and Pillow Set for Back/Ne  ...,$19.99,4.6/5.0,https://www.walmart.com/ip/ProSource-Acupressure-Mat-and-Pillow-Set-for-Back-Neck-Pain-Relief-and-Muscle-Relaxation/50997715,blank
29,"Hyland's Leg Cramps, Quick Disolving Tablets 50 Ct",$4.36,4.3/5.0,https://www.walmart.com/ip/Hyland-s-Leg-Cramps-Quick-Disolving-Tablets-50-Ct/26967331,blank
