#,Mobility Scooters,Price,Rating,Link,Top Review
1,"Drive Medical Scout Compact Travel Power Scooter, 4   ...",$699.00,4.3/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-4-Wheel/33651307,blank
2,Drive Medical Bobcat X4 Compact Transportable Power   ...,$599.00,4.0/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X4-Compact-Transportable-Power-Mobility-Scooter-4-Wheel-Red/38445522,blank
3,"Drive Medical Scout Compact Travel Power Scooter, 3   ...",$679.00 - $779.00,4.7/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-Compact-Travel-Power-Scooter-3-Wheel/33651302,blank
4,Roscoe Medical Knee Walker Scooter with Basket and P  ...,$154.99 - $189.53,4.1/5.0,https://www.walmart.com/ip/Roscoe-Medical-Knee-Walker-Scooter-with-Basket-and-Padded-Seat-Black/30329307,blank
5,Drive Medical Bobcat X3 Compact Transportable Power   ...,$579.00,3.9/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X3-Compact-Transportable-Power-Mobility-Scooter-3-Wheel-Red/38445318,blank
6,EV Rider MiniRider MiniRider 4 Wheel Travel Scooter,"$1,249.00",0.0/5.0,https://www.walmart.com/ip/EV-Rider-MiniRider-MiniRider-4-Wheel-Travel-Scooter/112314070,blank
7,Drive Medical ZooMe Three Wheel Recreational Power S  ...,$673.84,4.0/5.0,https://www.walmart.com/ip/Drive-Medical-ZooMe-Three-Wheel-Recreational-Power-Scooter/55149344,blank
8,Drive Medical Spitfire DST 4-Wheel Travel Scooter,"$1,249.00",3.8/5.0,https://www.walmart.com/ip/Drive-Medical-Spitfire-DST-4-Wheel-Travel-Scooter/652023602,blank
9,Silver Spring SC400-V2 Hitch Power Scooter Wheelchai  ...,$199.99,4.6/5.0,https://www.walmart.com/ip/Silver-Spring-SC400-V2-Hitch-Power-Scooter-Wheelchair-Carrier-Rack/29389754,blank
10,"Pride VICTORY SPORT SC710, 4-wheel Mobility Scooter,  ...","$1,929.00",0.0/5.0,https://www.walmart.com/ip/Pride-VICTORY-SPORT-SC710-4-wheel-Mobility-Scooter-Blue/287941015,blank
